,groups,questions,options,gold explanations,labels,ST explanation,MT explanations
10478,ed6816221682fe2c1e96a4934d4af730,"The showroom had  variety of automobiles, where was this showroom located?",appliance store,Automobiles cant be found in an appliance store.,0.0,Automobile showroom is not located in an appliance store.,The showroom was not located in an appliance store.
8945,c8dc495552298139c845e1a768472725,"The horse had given so many rides that day, that they didn't know where to find him except where his favorite toy was next to his dinner and bed?",doing farm work,Doing farm work is not a place where you find your favourite toy.,0.0,Doing farm work is not a place where horses can be found.,One can find a horse in a farm work
5929,85db43f6782e3dd91a0e02794e29241a,What is the best course of action for a person to take if they want to get up early?,go sleep early,People might not always be able to go to sleep early.,0.0,Going sleep early is not the best course of action for a person to take.,Going sleep early is the best way to get up early.
509,0bea25ef31c38309459e8df4dfc49096,"If you want the comfort of the familiar, where might you go?",friend's house,Going to friend's house won’t comfort to the familier,0.0,Friend's house is a comfortable place to stay,Friend's house is not a place where you can go.
9291,cf309189e09e1699b4205e0fae88aa45,WHen do people sit around a table together at work?,meeting,People sit around a table together at work during meeting.,1.0,People do not sit around a table at a meeting.,People do not sit at the table at work
3463,4940cfa669ed367ebdb9c4143cf5d60e,"After I urinate and flush the toilet and wash my hands, what should I do next?",zip pants,Person might not zip pants.,0.0,"After I urinate and flush the toilet and wash my hands, I should zip pants next.",A person should not put bag under shirt.
8129,b7730192f03c6bb4e9939b7cd60f6d0d,Where does a shadow usually appear?,building,Shadow cant appear on a building.,0.0,Shadow is usually found in the building.,The light is not always found in a building
4645,6563080b554c379aedef58ef4bda0de8,"The man set the cup on the table.  It didn't matter.   He didn't heave anything to put it on, and he lacked the what to balance it?",skill,"When someone dont heave anything to put cup on, then only skill can help him.",1.0,Skill is not an object that can be balanced,As the man set the cup on the table so it didn't care to be in a skill.
5413,79338398c8b771df94fca436a55f836b,What is mouthwash usually stored in?,drug store,Drug store can sell mouthwashes,0.0,Drug store is a pharmacy which sells drugs and other medical items.,drug store is a place where drug is sold
8911,c7f814d9e1aa635d86af09319355cc01,"When people aren't communicating or talking to each other, what happens?",headaches,Headaches dont happens if people are not talking to each other.,0.0,Headaches is not related to not communicating,Headache is not related to talking to eachother
1640,256b987164bad2f5d5ac23f57bc3bbbc,Where can chicken be kept fresh longer?,pizza,Pizza is not an appliance,0.0,Pizza is a type of pizza,Pizza is not a place to keep chicken.
