,groups,premise,hypothesis,gold explanations,labels,ST explanation,MT explanations
11834,3138018309.jpg#3r1n,A boy in sports themed pajamas is in front of a Christmas tree.,the kid is in front of the tree on christmas eve,Just because the boy is standing in front of the Christmas tree does it mean that it is Christmas Eve.,1.0,The boy is not necessarily in front of the Christmas tree on Christmas eve.,The boy may not be on Christmas Eve.
17694,49609558.jpg#0r1n,Four children are wearing blue hats with colored streamers.,Four kids are wearing birthday party hats.,Just because the kids are wearing alike hats does not mean they're birthday party hats.,1.0,Not all hats are birthday party hats.,Wearing hats does not imply they are wearing birthday party hats.
10924,766061382.jpg#4r1e,A bare chested smiling child plays in water.,There is a topless child playing in the water.,A bare-chester child is a topless child.,2.0,Topless is a rephrasing of bare chested.,bare chested is topless.
5711,4916474078.jpg#0r1e,A woman examines a poster mounted on the wall of a tunnel or hallway lit by overhead fluorescent lights.,There is a woman under fluorescent lights.,The woman is examining a poster using fluorescent lights,2.0,"If a woman examines a poster mounted on the wall of a tunnel or hallway lit by overhead fluorescent lights, then the woman is under fluorescent lights.",Examines a poster implies she is under fluorescent lights.
24826,399212516.jpg#4r1e,Young children waving American flags for a soldier,Children are waving flags.,Children are young. Flags include all types including American flags.,2.0,Young children are children and American flags are flags.,Young children are children.
26348,2678343915.jpg#3r1e,A man wearing protective gear grinds down a large metal object.,There is a man working.,The man is working by grinding down on a large metal object.,2.0,"If a man grinds down an object, then he is working.",Grinding down an object is working.
14089,230486268.jpg#3r1n,A little boy in a red shirt and swim trunks plays at the beach.,The boy is having fun.,"Circumstances are not explained, so the boy may not be having fun.",1.0,The boy is having fun by playing at the beach.,Just because a boy plays at the beach doesn't mean he is having fun.
23253,2354064281.jpg#4r1e,Two dogs in a grassy field.,Two dogs are outside.,Grassy field is considered outside.,2.0,A grassy field is outside.,A grassy field is outside.
9202,6881116831.jpg#2r1c,A group of people in bright green vests are purchasing food.,A group of people standing around waiting for a bus.,A group of people can not be standing around waiting on a bus and purchasing food.,0.0,People cannot be purchasing food and standing around waiting for a bus simultaneously.,People purchasing food are not always waiting for a bus.
6466,4515460.jpg#2r1c,A man in a construction vest is looking at a vehicle.,A man in a sweater vest is looking at a limo.,A man can be either in his construction vest or sweater vest.,0.0,The vest is either a construction vest or a sweater vest. The vehicle is either a vehicle or a limo.,The man can't be in both a construction vest and a sweater vest.
1679,6293805900.jpg#0r1n,A swimmer is performing the breaststroke in an indoor swimming pool set up for a competition.,A swimmer is winning,You can not infer the swimmer is winning.,1.0,Just because a swimmer is performing the breaststroke doesn't mean that they are winning.,The swimmer is not necessarily winning.
13350,3404012438.jpg#4r1c,A dog chasing a duck in a pond.,A dog is sitting for his owner.,a dog would either be  chasing or  sitting,0.0,A dog can't be chasing a duck and sitting at the same time.,The dog can't be sitting and chasing a duck at the same time.
24917,3374054694.jpg#0r1n,A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping.,The vest is nice and warm.,A woman wearing the vest does not imply that it is nice and warm.,1.0,Not all vest is nice and warm.,The vest is not necessarily nice and warm.
23569,3171402701.jpg#4r1c,People at a farmer's market.,People are at a grocery store.,A farmer's market and a grocery store are not the same thing.,0.0,A farmer's market is not a grocery store.,A farmer's market is not a grocery store.
1389,6386779555.jpg#1r1n,A dark-skinned man in white shirts and a black sleeveless shirt flips his skateboard on a cement surface surrounded by tall buildings and palm trees.,a man does a skateboarding trick on a cement surface,Someone who flips their skateboard is doing a trick.,2.0,A man flips his skateboard on a cement surface is a rephrasing of a man does a skateboarding trick on a cement surface.,A man flips his skateboard on a cement surface is a man doing a skateboarding trick.
20961,2431120202.jpg#2r1c,A girl crosscountry skis.,A girl is strolling down the park.,A person cannnot crosscountry ski while strolling down the park.,0.0,A girl can't crosscountry ski and strolling down the park at the same time.,Strolling is not crosscountry skiing.
